Year,Month,Day,Rain,Tmax,Tmin,Height,Predicted_Growth
2015,4,21,0.0,29.2,9.7,1170,0.2155846609803217
2015,4,22,0.0,26.1,15.0,1170,0.17096960448253498
2015,4,23,0.0,27.3,14.2,1170,0.1868975988369933
2015,4,24,0.0,25.1,13.6,1170,0.15289175138431363
2015,4,25,0.2,29.0,13.6,1170,0.20612254236745486
2015,4,26,0.0,29.5,10.6,1170,0.21337960451549148
2015,4,27,0.0,29.8,9.2,1170,0.21743132768151455
2015,4,28,0.0,29.8,9.3,1170,0.21745197739900207
2015,4,29,0.0,29.9,9.2,1170,0.21893347457387724
2015,4,30,0.0,28.4,9.8,1170,0.19638418078915187
2015,5,1,0.0,27.2,4.6,1170,0.17893765536302916
2015,5,2,0.0,26.7,3.5,1170,0.17066500000000023
2015,5,3,0.0,28.3,5.4,1170,0.19450000000000006
2015,5,4,0.0,28.8,4.8,1170,0.20210500000000026
2015,5,5,0.0,28.4,6.4,1170,0.19605064971748767
2015,5,6,0.0,30.4,7.2,1170,0.22595499999999955
2015,5,7,0.0,26.5,6.9,1170,0.16757500000000033
2015,5,8,0.0,25.1,12.9,1170,0.14695488700442594
2015,5,9,0.0,26.4,9.3,1170,0.16610539547980063
2015,5,10,0.0,26.5,7.9,1170,0.16762389830492544
2015,5,11,0.0,25.7,10.3,1170,0.15564319208965066
2015,5,12,0.0,25.6,8.7,1170,0.15398519773990013
2015,5,13,0.0,26.4,9.0,1170,0.16610539547980063
2015,5,14,0.0,29.1,4.6,1170,0.2064099999999997
2015,5,15,0.0,28.6,4.6,1170,0.19897000000000023
2015,5,16,0.0,28.5,7.1,1170,0.19744000000000014
2015,5,17,0.0,27.8,6.0,1170,0.18763415253790408
2015,5,18,0.0,26.4,8.3,1170,0.16600000000000026
2015,5,19,0.0,26.2,7.0,1170,0.16305649717487536
2015,5,20,0.0,26.7,5.0,1170,0.17065000000000022
2015,5,21,0.0,25.4,6.4,1170,0.15104519773990005
2015,5,22,0.0,25.4,5.9,1170,0.15104519773990005
2015,5,23,0.0,22.4,7.4,1170,0.10606799434975038
2015,5,24,0.0,23.1,5.2,1170,0.11650759886995025
2015,5,25,0.0,25.7,4.8,1170,0.15549999999999997
2015,5,26,0.0,25.6,5.0,1170,0.15401499999999993
2015,5,27,0.0,25.7,5.1,1170,0.15549999999999997
2015,5,28,0.0,25.6,4.1,1170,0.15399999999999994
2015,5,29,0.0,26.8,4.2,1170,0.17195500000000027
2015,5,30,0.0,26.5,4.7,1170,0.16754500000000033
2015,5,31,0.0,26.0,4.2,1170,0.16000000000000011
2015,6,1,0.0,24.0,4.5,1170,0.12986500000000023
2015,6,2,0.0,22.3,11.8,1170,0.10494999999999986
2015,6,3,0.4,20.1,10.3,1170,0.10112994349750494
2015,6,4,0.0,17.3,3.7,1170,0.10115254236745504
2015,6,5,0.0,18.1,1.7,1170,0.10115254236745504
2015,6,6,0.0,17.2,0.0,1170,0.10115254236745504
2015,6,7,0.0,19.0,0.2,1170,0.10115254236745504
2015,6,8,0.0,19.9,0.2,1170,0.10112994349750494
2015,6,9,0.0,20.8,1.3,1170,0.10112994349750494
2015,6,10,0.0,19.2,1.1,1170,0.09999999999999978
2015,6,11,3.0,18.7,6.1,1170,0.10883946323571354
2015,6,12,0.2,20.8,6.0,1170,0.10933819204727775
2015,6,13,0.0,21.1,3.1,1170,0.1099422880921031
2015,6,14,0.0,23.4,1.9,1170,0.12901132764384982
2015,6,15,0.0,22.7,1.1,1170,0.1176898022224349
2015,6,16,0.0,22.5,0.3,1170,0.11400228810151926
2015,6,17,0.0,15.3,3.9,1170,0.10925754232979026
2015,6,18,0.0,19.1,0.0,1170,0.10056497174875272
2015,6,19,0.0,19.6,-1.0,1170,0.09999999999999978
2015,6,20,0.0,18.6,1.1,1170,0.09999999999999978
2015,6,21,0.0,20.1,0.8,1170,0.09999999999999978
2015,6,22,0.0,19.9,1.5,1170,0.09999999999999978
2015,6,23,0.0,20.9,1.6,1170,0.09999999999999978
2015,6,24,0.0,22.0,1.0,1170,0.09999999999999978
2015,6,25,0.0,22.6,0.5,1170,0.108955
2015,6,26,0.0,20.8,1.8,1170,0.09999999999999978
2015,6,27,0.0,15.4,10.8,1170,0.09999999999999978
2015,6,28,0.0,18.4,6.6,1170,0.09999999999999978
2015,6,29,0.0,21.6,4.3,1170,0.09999999999999978
2015,6,30,0.0,22.1,2.1,1170,0.10152999999999984
2015,7,1,0.0,21.0,3.6,1170,0.09999999999999978
2015,7,2,0.0,21.0,3.5,1170,0.09999999999999978
2015,7,3,0.0,21.1,4.7,1170,0.09999999999999978
2015,7,4,0.0,20.7,3.3,1170,0.09999999999999978
2015,7,5,0.0,21.9,2.7,1170,0.09999999999999978
2015,7,6,0.0,23.5,3.1,1170,0.1225282485874377
2015,7,7,0.0,19.9,6.2,1170,0.09999999999999978
2015,7,8,0.0,19.9,5.8,1170,0.09999999999999978
2015,7,9,0.0,22.9,2.6,1170,0.11350000000000011
2015,7,10,0.0,21.5,3.3,1170,0.09999999999999978
2015,7,11,0.0,20.7,9.5,1170,0.09999999999999978
2015,7,12,0.0,23.2,5.0,1170,0.11802824858743781
2015,7,13,0.0,23.8,3.8,1170,0.1271990960448255
2015,7,14,0.0,23.3,3.3,1170,0.11950564971748776
2015,7,15,0.0,22.1,8.8,1170,0.10149999999999984
2015,7,16,0.0,23.2,5.1,1170,0.11802824858743781
2015,7,17,0.0,17.5,3.1,1170,0.09999999999999978
2015,7,18,0.0,21.3,-1.7,1170,0.09999999999999978
2015,7,19,0.0,23.8,0.2,1170,0.12706214689236286
2015,7,20,0.0,24.5,1.9,1170,0.13742499999999977
2015,7,21,0.0,23.0,3.5,1170,0.11505494350221318
2015,7,22,0.0,20.9,6.0,1170,0.09999999999999978
2015,7,23,1.6,20.1,8.3,1170,0.10450847455504507
2015,7,24,0.2,18.9,11.3,1170,0.10485310732178385
2015,7,25,0.0,17.0,4.7,1170,0.1049039547791716
2015,7,26,0.0,18.3,1.2,1170,0.1049999999764595
2015,7,27,0.0,20.3,0.9,1170,0.10503954799887216
2015,7,28,0.0,20.6,-0.2,1170,0.10503954799887216
2015,7,29,0.0,23.6,0.8,1170,0.1288757344382735
2015,7,30,0.0,24.7,5.1,1170,0.14096502824653945
2015,7,31,0.0,17.3,3.0,1170,0.09999999999999978
2015,8,1,0.0,20.9,-0.5,1170,0.09999999999999978
2015,8,2,0.0,21.0,-1.8,1170,0.09999999999999978
2015,8,3,0.0,22.5,-0.7,1170,0.10749999999999994
2015,8,4,0.0,24.5,0.9,1170,0.13740999999999975
2015,8,5,0.0,24.1,4.4,1170,0.13148694915246287
2015,8,6,0.0,24.7,1.9,1170,0.1404849999999998
2015,8,7,0.0,25.2,2.4,1170,0.14832669491477524
2015,8,8,0.0,27.1,2.5,1170,0.17654714689236314
2015,8,9,0.0,27.1,2.7,1170,0.17654714689236314
2015,8,10,0.0,27.0,2.8,1170,0.17500000000000032
2015,8,11,0.0,21.8,5.1,1170,0.09999999999999978
2015,8,12,0.0,23.3,3.2,1170,0.11950564971748776
2015,8,13,0.0,27.0,8.4,1170,0.17500000000000032
2015,8,14,0.0,28.3,3.6,1170,0.19450779660985038
2015,8,15,0.0,29.1,5.9,1170,0.2064099999999997
2015,8,16,0.0,29.4,6.1,1170,0.21098499999999976
2015,8,17,0.0,28.0,5.4,1170,0.18984279660985032
2015,8,18,0.0,29.0,6.3,1170,0.20505649717487492
2015,8,19,0.0,28.9,5.7,1170,0.2034362994349748
2015,8,20,0.0,28.6,7.6,1170,0.19900564971748774
2015,8,21,0.0,28.5,9.0,1170,0.19740064971748766
2015,8,22,0.0,31.6,9.5,1170,0.24421389830492501
2015,8,23,0.0,28.9,11.9,1170,0.20365759886994975
2015,8,24,0.0,28.3,12.6,1170,0.19467768361427648
2015,8,25,0.0,30.7,7.6,1170,0.23045499999999955
2015,8,26,0.0,30.7,8.2,1170,0.23042499999999955
2015,8,27,0.0,30.1,12.8,1170,0.22185864406723796
2015,8,28,0.0,30.2,9.7,1170,0.22319968926452588
2015,8,29,0.0,32.6,10.5,1170,0.2412086440672378
2015,8,30,0.0,31.9,10.9,1170,0.24797499999999995
2015,8,31,0.0,32.3,11.9,1170,0.24588689265467553
2015,9,1,0.0,29.7,13.3,1170,0.216143841807138
2015,9,2,0.0,27.2,7.9,1170,0.17816129943497547
2015,9,3,14.4,25.1,7.7,1170,0.18963838963651886
2015,9,4,26.8,16.8,11.2,1170,0.22078166610797226
2015,9,5,8.8,15.1,10.6,1170,0.24266886939454416
2015,9,6,0.0,19.5,10.1,1170,0.24387412363223127
2015,9,7,0.0,24.9,7.7,1170,0.27634816319339356
2015,9,8,0.0,27.6,10.2,1170,0.3250810727941099
2015,9,9,0.0,30.4,10.4,1170,0.35962689200025005
2015,9,10,0.0,32.9,12.2,1170,0.33268112948022066
2015,9,11,0.0,33.9,11.7,1170,0.24762903943404418
2015,9,12,0.0,24.9,14.8,1170,0.15293954801770454
2015,9,13,0.0,27.0,12.6,1170,0.17515000000000033
2015,9,14,0.0,25.9,11.6,1170,0.15919336157830347
2015,9,15,0.0,27.1,10.2,1170,0.1765506497174879
2015,9,16,0.0,30.3,9.3,1170,0.2242919491524625
2015,9,17,0.0,32.6,12.1,1170,0.241146497174875
2015,9,18,0.0,32.7,9.8,1170,0.2397253954798001
2015,9,19,0.0,28.3,14.9,1170,0.19612666666352802
2015,9,20,0.0,24.2,16.6,1170,0.15417672316131484
2015,9,21,0.0,25.2,15.9,1170,0.15980912429136482
2015,9,22,0.0,30.3,15.2,1170,0.22681019773989985
2015,9,23,0.0,33.4,12.7,1170,0.22861254237216286
2015,9,24,0.0,33.9,16.4,1170,0.2426595762689519
2015,9,25,0.0,34.0,14.7,1170,0.22196892655146447
2015,9,26,0.0,33.6,14.0,1170,0.2270550847443261
2015,9,27,0.0,32.1,13.7,1170,0.24775564971748745
2015,9,28,0.0,33.8,15.6,1170,0.23161624293718788
2015,9,29,0.0,35.5,11.9,1170,0.19807508474432642
2015,9,30,0.0,34.8,19.1,1170,0.2740340395376223
2015,10,1,0.0,30.9,17.1,1170,0.26611449152462613
2015,10,2,0.0,29.9,8.8,1170,0.21848324858743748
2015,10,3,0.0,32.7,10.4,1170,0.23968954802241235
2015,10,4,0.0,35.4,13.8,1170,0.19907598869950116
2015,10,5,0.0,36.2,15.2,1170,0.1908116384122803
2015,10,6,0.0,36.1,14.2,1170,0.1890744915246258
2015,10,7,0.0,36.0,14.9,1170,0.1903707344618139
2015,10,8,0.0,37.7,21.6,1170,0.2618036158065744
2015,10,9,0.0,37.1,17.2,1170,0.2095992372822303
2015,10,10,0.0,35.3,19.1,1170,0.26349867231377766
2015,10,11,0.0,36.1,17.2,1170,0.223501864403428
2015,10,12,0.0,34.4,19.7,1170,0.28482028248422686
2015,10,13,0.0,35.2,15.5,1170,0.20890197739900174
